Date,us_AZO,us_KMB,us_MO,us_SPGI,us_AIZ,us_WAT,us_CI,us_LMT,us_CHRW,us_IRM,us_AMT,us_CTXS,us_ORCL,us_NRG,us_FE,us_LYB,us_SHW,us_GOOGL,us_GOOG,us_HD,us_SEE,us_TGT,us_APA,us_MPC,us_DFS,us_MCO,us_MTD,us_HCA,us_ITW,us_ROK,us_SPG,us_CBRE,us_CDW,us_ADSK,uk_POLY.L,uk_EVR.L,uk_RMV.L,uk_SKG.L,uk_FLTR.L,uk_IMB.L,uk_BNZL.L,uk_DCC.L,uk_ADM.L,uk_PHNX.L,uk_AZN.L,uk_FERG.L,uk_SGRO.L,uk_JMAT.L,uk_WPP.L,uk_NXT.L,uk_STJ.L,uk_LAND.L,bond_SPLB,bond_USHY,bond_EMPTX,bond_EMB,bond_BND,bond_PCY,bond_BIL,bond_PHB,bond_SPMB,bond_BSV,bond_SPIB,bond_GBF,bond_TIP,bond_SPTI,bond_PLW,bond_PFIG,bond_BWZ,bond_PICB,bond_WIP,bond_BWX,bond_CWB,comd_GC=F,comd_CL=F,comd_BZ=F,comd_AUP=F,comd_WEAT,comd_CORN,comd_SOYB,comd_JO,comd_UNG,comd_JJC,comd_DBE,comd_BCI
2018-12-31,838.3400268554688,103.62931823730469,39.40004348754883,165.58518981933594,84.22106170654297,188.64999389648438,186.4768829345703,241.55075073242188,77.96083068847656,26.069143295288086,149.58119201660156,98.54446411132812,42.80440139770508,36.88291931152344,33.22163009643555,71.62213134765625,127.7879638671875,1044.9599609375,1035.6099853515625,160.0651397705078,33.2557373046875,61.92995071411133,24.763126373291016,51.61143493652344,55.02322006225586,136.47219848632812,565.5800170898438,121.18565368652344,117.79515075683594,142.03353881835938,142.66163635253906,40.040000915527344,78.3785629272461,128.61000061035156,703.004638671875,322.3828430175781,418.17333984375,1789.0247802734375,5988.80224609375,1635.8453369140625,2170.939208984375,5572.2314453125,1886.2581787109375,455.6973571777344,5371.72509765625,4604.255859375,533.0018920898438,2587.90478515625,721.2340698242188,3748.106689453125,806.4988403320312,706.7223510742188,22.92289161682129,38.80498504638672,6.93357515335083,91.62781524658203,73.66446685791016,22.966053009033203,89.34130859375,15.769542694091797,23.28447723388672,74.34358978271484,30.834346771240234,104.47433471679688,101.80418395996094,28.800975799560547,30.68232536315918,22.53532600402832,30.340526580810547,24.18012809753418,47.69422149658203,26.752674102783203,43.24707794189453,1278.300048828125,45.40999984741211,52.279998779296875,0.1911800056695938,5.929999828338623,16.049999237060547,16.18000030517578,37.45000076293945,24.709999084472656,13.550999641418457,12.219778060913086,17.50347328186035
2019-01-02,838.47998046875,101.67388916015625,39.33622360229492,165.49749755859375,84.842529296875,183.41000366210938,183.7767333984375,244.21682739257812,76.9317398071289,25.819795608520508,148.21009826660156,98.30400085449219,42.87077331542969,35.495147705078125,32.48729705810547,72.25083923339844,127.38851928710938,1054.6800537109375,1045.8499755859375,160.61476135253906,33.71390151977539,62.25791549682617,25.574417114257812,52.16244125366211,55.42436981201172,137.2615966796875,546.0399780273438,118.56621551513672,117.71146392822266,142.40162658691406,140.1309356689453,39.93000030517578,76.56053161621094,128.9600067138672,721.477783203125,321.5106201171875,424.7034912109375,1819.958984375,6157.23681640625,1639.286376953125,2160.859130859375,5604.81787109375,1867.8287353515625,458.2047119140625,5399.16455078125,4583.60693359375,541.1517333984375,2517.63671875,724.130615234375,3922.786865234375,815.8966674804688,701.9780883789062,23.013214111328125,38.690696716308594,6.856631755828857,91.62781524658203,73.81329345703125,22.966053009033203,89.33153533935547,15.760614395141602,23.339462280273438,74.40984344482422,30.862342834472656,104.60675048828125,101.96223449707031,28.78162956237793,30.787830352783203,22.526185989379883,30.251585006713867,23.9976749420166,47.63922882080078,26.74298095703125,43.22859573364258,1281.0,46.540000915527344,54.90999984741211,0.1911800056695938,5.980000019073486,16.1200008392334,16.3799991607666,36.630001068115234,24.489999771118164,13.39566707611084,12.318008422851562,17.47090721130371
2019-01-03,845.5800170898438,100.62793731689453,39.12084197998047,160.15789794921875,83.48658752441406,176.33999633789062,182.20574951171875,238.08213806152344,74.09477996826172,26.230012893676758,149.0989227294922,96.89020538330078,42.45362854003906,35.159854888916016,32.47844314575195,70.84701538085938,123.5430908203125,1025.469970703125,1016.0599975585938,157.0747528076172,33.150733947753906,61.40519332885742,25.64044761657715,51.401527404785156,54.491455078125,132.71055603027344,513.5599975585938,116.30706787109375,114.7826156616211,137.37081909179688,140.0120391845703,37.88999938964844,74.58777618408203,121.8499984741211,738.7534790039062,296.6190185546875,424.26812744140625,1794.1805419921875,6021.55322265625,1660.964599609375,2121.453857421875,5483.783203125,1848.4776611328125,451.32958984375,5497.0322265625,4472.1025390625,542.4195556640625,2464.0107421875,717.4857177734375,4085.258056640625,803.08154296875,704.0866088867188,22.977081298828125,38.644134521484375,6.754038333892822,92.01580047607422,74.10157012939453,23.02690315246582,89.36085510253906,15.760614395141602,23.431095123291016,74.58016967773438,30.946313858032227,105.08920288085938,102.55716705322266,28.955739974975586,31.037200927734375,22.526185989379883,30.45912742614746,24.1129093170166,47.91421127319336,26.859254837036133,42.46143341064453,1291.800048828125,47.09000015258789,55.95000076293945,0.18799999356269836,6.03000020980835,16.25,16.459999084472656,37.66999816894531,24.209999084472656,13.263999938964844,12.465352058410645,17.592212677001953
2019-01-04,835.6300048828125,101.75572204589844,40.125972747802734,167.8457489013672,85.172119140625,179.77999877929688,185.2691650390625,244.5028076171875,76.66290283203125,26.68849754333496,149.6946563720703,98.71758270263672,44.283355712890625,36.36134338378906,32.88542175292969,74.67098236083984,126.81689453125,1078.0699462890625,1070.7099609375,161.7420196533203,33.83799362182617,62.24855422973633,26.71587371826172,53.92043685913086,57.178245544433594,139.62966918945312,527.1500244140625,120.15345764160156,118.25074768066406,141.7031707763672,142.1436004638672,39.45000076293945,75.31305694580078,128.27999877929688,732.7669067382812,314.8013000488281,434.3778381347656,1885.264404296875,6171.2734375,1687.8043212890625,2159.026123046875,5739.8173828125,1859.535400390625,462.8959045410156,5569.2890625,4698.7822265625,543.6873779296875,2583.281982421875,726.3456420898438,4205.46826171875,829.5661010742188,711.9937744140625,22.96805191040039,39.21724319458008,7.0019707679748535,92.71240997314453,73.87837982177734,23.270299911499023,89.37060546875,15.921252250671387,23.394439697265625,74.39090728759766,30.862342834472656,104.6729965209961,102.3433609008789,28.771955490112305,30.77823829650879,22.53532600402832,30.46900749206543,24.170530319213867,48.31754684448242,26.839876174926758,43.50587844848633,1282.699951171875,47.959999084472656,57.060001373291016,0.18799999356269836,6.059999942779541,16.399999618530273,16.639999389648438,37.380001068115234,25.09000015258789,13.574999809265137,12.701104164123535,17.790040969848633
2019-01-07,822.3200073242188,103.12908172607422,38.91342544555664,169.19036865234375,85.5111083984375,187.24000549316406,183.11888122558594,247.3072509765625,77.03374481201172,26.986106872558594,150.62130737304688,99.1119155883789,44.98491668701172,36.69664001464844,33.30124282836914,74.877685546875,128.60641479492188,1075.9200439453125,1068.3900146484375,164.9280242919922,33.942989349365234,65.29399108886719,27.291322708129883,54.453948974609375,57.27153778076172,140.14617919921875,533.5800170898438,121.1759262084961,118.27864074707031,142.88302612304688,143.63824462890625,40.0099983215332,75.0132827758789,132.72000122070312,740.9771728515625,318.9610595703125,442.1656494140625,1787.3062744140625,6302.2783203125,1603.5,2154.4443359375,5860.8515625,1824.0587158203125,462.3296813964844,5492.458984375,4634.54052734375,546.5850219726562,2584.20654296875,737.7612915039062,4296.564453125,829.2244262695312,716.0352172851562,23.004179000854492,39.55669021606445,7.0019707679748535,93.1092300415039,73.76676940917969,23.278989791870117,89.37060546875,16.046194076538086,23.339462280273438,74.30575561523438,30.84366798400879,104.54051971435547,102.27826690673828,28.704246520996094,30.720693588256836,22.526185989379883,30.597488403320312,24.25695037841797,48.299217224121094,26.888324737548828,44.11590576171875,1286.800048828125,48.52000045776367,57.33000183105469,0.1899999976158142,6.059999942779541,16.399999618530273,16.68000030517578,37.95000076293945,24.3799991607666,13.537332534790039,12.769865036010742,17.85354232788086
2019-01-08,811.3699951171875,104.54790496826172,39.13679504394531,170.7396240234375,85.61469268798828,192.38999938964844,186.4866943359375,248.9585723876953,77.65489196777344,27.581331253051758,152.32334899902344,99.88134765625,45.392578125,37.25547409057617,33.77899932861328,76.31597900390625,129.51902770996094,1085.3699951171875,1076.280029296875,165.7198486328125,34.41071319580078,65.22838592529297,27.696964263916016,54.98746871948242,57.37416458129883,142.18295288085938,556.530029296875,122.88002014160156,120.88204956054688,144.7518768310547,147.0691375732422,41.31999969482422,77.624267578125,133.8699951171875,730.201171875,318.3572082519531,454.7423095703125,1897.2940673828125,6372.45947265625,1615.1995849609375,2194.765869140625,5874.81640625,1861.3782958984375,473.8961181640625,5394.59130859375,4796.0615234375,557.6326904296875,2676.664794921875,744.91748046875,4521.9580078125,841.5269165039062,729.0380249023438,23.067405700683594,39.854679107666016,7.036168098449707,93.03866577148438,73.67378234863281,23.252912521362305,89.37060546875,16.117591857910156,23.31197166442871,74.23951721191406,30.84366798400879,104.51217651367188,102.36195373535156,28.660720825195312,30.66314697265625,22.517045974731445,30.557958602905273,24.093706130981445,48.13422775268555,26.810813903808594,44.476375579833984,1283.199951171875,49.779998779296875,58.720001220703125,0.1899999976158142,6.090000152587891,16.329999923706055,16.56999969482422,38.84000015258789,24.739999771118164,13.621999740600586,13.0154390335083,17.918672561645508
2019-01-09,820.3599853515625,103.69298553466797,39.61543273925781,169.2098846435547,86.14202880859375,194.92999267578125,186.89907836914062,249.57662963867188,78.54492950439453,27.685895919799805,150.9900665283203,100.81427764892578,45.29777145385742,36.83634948730469,33.57551193237305,75.88534545898438,129.30792236328125,1081.6500244140625,1074.6600341796875,167.43397521972656,33.66617965698242,65.8655776977539,29.11199951171875,56.168209075927734,57.96189498901367,142.66049194335938,568.469970703125,124.93467712402344,120.86346435546875,145.6202392578125,147.27293395996094,41.61000061035156,78.64934539794922,136.77000427246094,739.7799072265625,328.0186462402344,451.59814453125,1945.4139404296875,6306.95703125,1656.4910888671875,2219.508056640625,5981.8857421875,1877.96484375,485.7050476074219,5405.5673828125,4807.99267578125,557.8138427734375,2730.29052734375,750.5401000976562,4557.6455078125,841.69775390625,725.699462890625,23.257064819335938,39.982505798339844,7.190057754516602,93.20623779296875,73.77606964111328,23.3398380279541,89.37060546875,16.162212371826172,23.33029556274414,74.30575561523438,30.918325424194336,104.58782196044922,102.48280334472656,28.684898376464844,30.643962860107422,22.58103370666504,30.7654972076416,24.276161193847656,48.65671920776367,27.03367042541504,44.855323791503906,1289.300048828125,52.36000061035156,61.439998626708984,0.19050000607967377,6.090000152587891,16.399999618530273,16.719999313354492,38.70500183105469,24.889999389648438,13.666000366210938,13.49676513671875,18.130340576171875
2019-01-10,827.3400268554688,106.10317993164062,38.97724533081055,172.61044311523438,87.10250854492188,196.97000122070312,188.3031463623047,255.9973602294922,79.21244049072266,27.919158935546875,153.0514678955078,101.8049087524414,45.33568572998047,37.63733673095703,34.13288497924805,75.27386474609375,129.765869140625,1078.8299560546875,1070.3299560546875,166.80984497070312,34.448890686035156,63.9914665222168,29.20633888244629,55.65217590332031,58.29774475097656,145.24295043945312,576.2899780273438,126.34666442871094,122.21167755126953,144.70469665527344,147.21348571777344,42.09000015258789,79.23924255371094,136.7100067138672,734.4774169921875,328.7566833496094,448.4056091308594,1928.228515625,6166.59423828125,1665.0938720703125,2237.836181640625,6065.67919921875,1877.0435791015625,491.77130126953125,5417.4580078125,4841.0302734375,556.002685546875,2731.21533203125,749.688232421875,4495.66259765625,842.7230224609375,723.0637817382812,23.04933738708496,40.104400634765625,7.258453369140625,93.03866577148438,73.62727355957031,23.322450637817383,89.38037109375,16.233613967895508,23.30280876159668,74.32467651367188,30.946313858032227,104.47433471679688,102.24109649658203,28.660720825195312,30.52886962890625,22.56275749206543,30.676549911499023,24.276161193847656,48.675048828125,26.985219955444336,45.04942321777344,1284.699951171875,52.59000015258789,61.68000030517578,0.1899999976158142,6.019999980926514,16.200000762939453,16.389999389648438,38.292999267578125,24.75,13.563332557678223,13.555703163146973,18.056257247924805
2019-01-11,822.8800048828125,106.59430694580078,39.0091552734375,171.47039794921875,87.1778335571289,198.24000549316406,191.13095092773438,256.20953369140625,79.38858795166016,28.015684127807617,152.61647033691406,102.0838394165039,45.781280517578125,37.534889221191406,33.94709777832031,74.0680923461914,128.59017944335938,1064.469970703125,1057.18994140625,167.13587951660156,34.90707015991211,65.22838592529297,29.338411331176758,56.73671340942383,58.34438705444336,145.17474365234375,576.9600219726562,125.75263977050781,121.16098022460938,147.10211181640625,146.3642578125,42.529998779296875,77.93373107910156,136.74000549316406,732.2538452148438,324.79815673828125,454.548828125,1840.5816650390625,6110.44921875,1675.0726318359375,2237.836181640625,6070.33447265625,1865.985595703125,492.74188232421875,5224.466796875,4873.1513671875,558.176025390625,2704.402587890625,749.1770629882812,4467.48779296875,844.7734375,732.0252075195312,23.121591567993164,39.9918098449707,7.249903678894043,93.0474853515625,73.77606964111328,23.287675857543945,89.39990234375,16.22468376159668,23.339462280273438,74.39090728759766,31.0023136138916,104.6351318359375,102.5107192993164,28.733266830444336,30.65355110168457,22.53532600402832,30.64690589904785,24.247346878051758,48.66588592529297,26.917404174804688,45.1418571472168,1287.0999755859375,51.59000015258789,60.47999954223633,0.1899999976158142,6.079999923706055,16.270000457763672,16.450000762939453,38.349998474121094,26.09000015258789,13.64566707611084,13.39853572845459,18.10591697692871
2019-01-14,826.97998046875,105.73026275634766,38.49860382080078,172.48377990722656,88.13831329345703,195.83999633789062,188.56825256347656,256.0065612792969,79.59255981445312,27.967416763305664,152.61647033691406,101.94918060302734,45.6769905090332,36.948116302490234,33.619747161865234,73.81834411621094,129.19752502441406,1051.510009765625,1044.68994140625,166.57691955566406,34.82115936279297,64.50684356689453,29.781784057617188,56.745460510253906,58.95077896118164,145.41836547851562,573.219970703125,125.86949157714844,121.03080749511719,147.4324951171875,144.99700927734375,42.310001373291016,76.62821197509766,134.75,731.2274780273438,324.99945068359375,450.00189208984375,1859.4859619140625,5857.796875,1651.673828125,2214.009765625,5986.541015625,1868.7501220703125,492.5801696777344,5038.79345703125,4811.66259765625,561.6170654296875,2708.1005859375,752.925537109375,4366.060546875,832.9835205078125,747.1365966796875,23.022247314453125,39.91730499267578,7.172959804534912,92.9416732788086,73.71098327636719,23.2616024017334,89.39016723632812,16.1711368560791,23.36695098876953,74.40984344482422,30.955665588378906,104.5689468383789,102.32477569580078,28.723587036132812,30.60559844970703,22.56275749206543,30.637022018432617,24.25695037841797,49.014225006103516,26.946468353271484,44.78138732910156,1289.0999755859375,50.5099983215332,58.9900016784668,0.1899999976158142,6.039999961853027,16.31999969482422,16.360000610351562,37.81999969482422,29.75,13.527000427246094,13.192253112792969,18.12220001220703
